Ticker,Price,Volume,Timestamp,% Change,RVOL,AI Signal,Autonomous Rank,Watchlist Status,Market Leader,Sector,Sector Rotation,Opportunity Score,Institutional Signal,Smart Money,Opportunity Type,Trade Plan,Entry Price,Stop Loss,Target 1,Target 2,Target 3,Trade Quality,Risk Classification,Portfolio Priority,Capital Allocation,Portfolio Balance,Heatmap Signal,Market Sentiment,AI Conviction,Execution Readiness
NVDA,214.3,148755979,2026-05-22 23:43:32.362082,-0.01,0,No Signal,0,Normal,No,Semiconductors,Neutral,0,Neutral,Neutral,Neutral,No Trade,214.3,207.87,220.73,227.16,235.73,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
SOUN,8.16,31698389,2026-05-22 23:43:32.737721,0.0,0,No Signal,0,Normal,No,AI Software,Neutral,0,Neutral,Neutral,Neutral,No Trade,8.16,7.92,8.4,8.65,8.98,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
AVGO,412.85,11089143,2026-05-22 23:43:32.858425,0.08,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,412.85,400.46,425.24,437.62,454.14,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
AAPL,308.4,34968851,2026-05-22 23:43:32.975587,-0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,308.4,299.15,317.65,326.9,339.24,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
JOBY,10.84,34383699,2026-05-22 23:43:33.091950,0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,10.84,10.52,11.17,11.49,11.92,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
RKLB,134.15,31190684,2026-05-22 23:43:33.290848,-0.25,0,No Signal,0,Normal,No,Space,Neutral,0,Neutral,Neutral,Neutral,No Trade,134.15,130.13,138.17,142.2,147.57,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
BBAI,4.18,64143669,2026-05-22 23:43:33.428814,0.24,0,No Signal,0,Normal,No,AI Software,Neutral,0,Neutral,Neutral,Neutral,No Trade,4.18,4.05,4.31,4.43,4.6,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
NNE,26.51,1992829,2026-05-22 23:43:33.564312,0.04,0,No Signal,0,Normal,No,Energy/Nuclear,Neutral,0,Neutral,Neutral,Neutral,No Trade,26.51,25.71,27.31,28.1,29.16,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
HOOD,73.32,18886219,2026-05-22 23:43:33.685079,-0.1,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,73.32,71.12,75.52,77.72,80.65,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
QBTS,28.63,133923061,2026-05-22 23:43:33.830935,-0.38,0,No Signal,0,Normal,No,Quantum,Neutral,0,Neutral,Neutral,Neutral,No Trade,28.63,27.77,29.49,30.35,31.49,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
AMD,462.75,34518323,2026-05-22 23:43:33.957574,-0.05,0,No Signal,0,Normal,No,Semiconductors,Neutral,0,Neutral,Neutral,Neutral,No Trade,462.75,448.87,476.63,490.52,509.02,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
QUBT,12.2,65466606,2026-05-22 23:43:34.081076,0.16,0,No Signal,0,Normal,No,Quantum,Neutral,0,Neutral,Neutral,Neutral,No Trade,12.2,11.83,12.57,12.93,13.42,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
VST,156.0,5829146,2026-05-22 23:43:34.287160,-0.28,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,156.0,151.32,160.68,165.36,171.6,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
IONQ,62.72,48880439,2026-05-22 23:43:34.424902,0.12,0,No Signal,0,Normal,No,Quantum,Neutral,0,Neutral,Neutral,Neutral,No Trade,62.72,60.84,64.61,66.49,69.0,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
ACHR,6.29,77019716,2026-05-22 23:43:34.590819,-0.16,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,6.29,6.1,6.48,6.67,6.92,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
OKLO,65.39,10545684,2026-05-22 23:43:34.732535,-0.32,0,No Signal,0,Normal,No,Energy/Nuclear,Neutral,0,Neutral,Neutral,Neutral,No Trade,65.39,63.43,67.35,69.31,71.93,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
TSLA,423.68,42791546,2026-05-22 23:43:34.856941,-0.04,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,423.68,410.97,436.39,449.1,466.05,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
MRVL,195.2,16994824,2026-05-22 23:43:35.031895,-0.15,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,195.2,189.34,201.06,206.91,214.72,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
SNOW,172.02,5187279,2026-05-22 23:43:35.169523,-0.1,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,172.02,166.86,177.18,182.34,189.22,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
RGTI,25.86,185464079,2026-05-22 23:43:35.291472,0.27,0,No Signal,0,Normal,No,Quantum,Neutral,0,Neutral,Neutral,Neutral,No Trade,25.86,25.08,26.63,27.41,28.45,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
PLTR,135.94,23828981,2026-05-22 23:43:35.493878,0.05,0,No Signal,0,Normal,No,AI Software,Neutral,0,Neutral,Neutral,Neutral,No Trade,135.94,131.86,140.02,144.1,149.53,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
AMZN,265.4,22699088,2026-05-22 23:43:35.619847,-0.07,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,265.4,257.44,273.36,281.32,291.94,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
MSFT,417.79,17514336,2026-05-22 23:43:35.950867,0.01,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,417.79,405.26,430.33,442.86,459.57,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
MSTR,158.75,11144313,2026-05-22 23:43:36.073930,0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,158.75,153.99,163.51,168.28,174.62,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
PATH,10.92,36860808,2026-05-22 23:43:36.204522,0.32,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,10.92,10.59,11.25,11.58,12.01,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
ARM,304.08,13371940,2026-05-22 23:43:36.326130,-0.07,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,304.08,294.96,313.2,322.32,334.49,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
